pitch_type,video_link,category
FF,https://baseballsavant.mlb.com/sporty-videos?playId=1de72667-3bba-37b9-b71c-913ef8b5cd03,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=10299d75-9e9d-3e07-a03d-cefded4888ac,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=abceab08-0df8-38ae-b041-f4f67a99e707,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=9ec708c8-61fe-382d-9ad6-b1936cf55e16,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=106e98f3-9ab1-37a5-b9e4-5feae43ff309,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=215e9975-16e9-3b42-9bb0-e8521328c1a5,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=7eaa237d-928f-3eae-8fbe-5e8813c483a6,Breaking
CU,https://baseballsavant.mlb.com/sporty-videos?playId=6af37bed-bdb5-3626-9fa6-52227ce2ab17,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=732f6cbe-6b84-3a93-872c-50abc046f2f5,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=c0506290-e38b-3655-aa8c-2f748219f395,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=def20db1-1a68-30b4-9bc7-1a860d9d9837,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=5813c028-620a-3748-8c85-31620f51ebe0,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=096d665b-929c-3d62-a273-14f0ac0758bc,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=9f871b25-0791-3df3-9a96-cc0e2deed9b8,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=d5e63043-b455-356c-ae2e-5d8dfbd09858,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=9e01c386-f62e-3789-8bb5-97e6e8c55c06,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=7421536f-d81f-3948-bd4d-54bcf01757e0,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=e6bfc19a-3c86-3e3a-a52d-d2b88fbc2efc,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=de6ce371-6857-392e-bfc8-985d191b1a8d,Fastball
